cnt_bike,atemp,hum,windspeed,temp,holiday,workingday
7112,35.45,74.13,12.58,30.2,0,1
6203,32.77,81.04,9.54,28.56,0,1
7504,32.86,73.63,11.5,28.84,0,1
5976,30.56,79.92,18.83,27.03,0,0
8227,28.95,54.75,15.04,25.01,0,0
7525,28.28,50.38,17.33,23.92,0,1
7767,27.71,52,6.17,23.68,0,1
7870,28.5,57.71,8.83,24.57,0,1
7804,28.98,63.71,5.54,25.11,0,1
8009,29.7,67.25,6.96,25.97,0,1
8714,29.29,50.17,16.58,24.94,0,0
7333,28.16,57,6.04,23.78,0,0
6869,27.65,73.46,10.17,23.81,0,1
4073,28.25,87.25,23.96,25.56,0,1
7591,27.02,53.67,14.42,22.65,0,1
7720,26.61,61.83,7.92,22.41,0,1
8167,28.6,66.88,10.33,24.57,0,1
8395,30.52,64.67,19,26.65,0,0
7907,25.95,46.71,14.96,21.7,0,0
7436,25.13,49.29,9.54,21.08,0,1
7538,27.21,57,15.83,22.55,0,1
7733,29.83,63.08,16.37,26.04,0,1
7393,30.4,69.08,9,26.65,0,1
7415,29.29,69,11,25.39,0,1
8555,26.51,54.29,15.25,22.24,0,0
6889,25.88,58.33,9.04,21.59,0,0
6778,25.6,64.92,6.08,21.35,0,1
4639,27.12,87.17,7,24.22,0,1
7572,29.96,79.38,4.46,26.96,0,1
7328,30.4,72.29,7.88,26.96,0,1
8156,29.01,62.75,7.13,25.22,0,1
7965,26.93,66.42,17.96,22.72,0,0
3510,20.99,70.83,9.46,17.05,0,0
5478,19.38,70.96,12.71,15.72,1,0
6392,21.91,76.17,12.75,18.31,0,1
7691,25.16,63.08,12.58,21.08,0,1
7570,21.56,46.33,12.17,17.84,0,1
7282,21.65,53.92,15.75,17.94,0,1
7109,19.57,49.46,9.79,16.13,0,0
6639,25.41,64.04,18.67,21.39,0,0
5875,26.96,70.75,19.83,23.03,0,1
7534,23.04,55.83,12.21,19.2,0,1
7461,22.51,69.29,6.79,18.69,0,1
7509,25.63,72.83,15.87,21.42,0,1
5424,26.89,81.5,9.04,23.1,0,1
8090,23.64,57.29,7.87,19.85,0,0
6824,22.82,51,11.13,19.03,0,0
7058,24.15,56.83,5.46,19.99,0,1
7466,26.52,64.17,6.33,22.31,0,1
7693,27.94,63.63,4.88,24.09,0,1
7359,26.48,80.04,8.33,22.55,0,1
7444,26.14,80.71,8.88,22.38,0,1
7852,25.76,72,15.79,21.73,0,0
4459,23.39,69.46,26.67,19.58,0,0
22,21.97,88,24,18.04,0,1
1096,15.5,82.55,14.27,13.05,0,1
5566,18.06,66.67,11.17,14.66,0,1
5986,18.5,58.17,10.54,15,0,1
5847,17.8,52.21,17.83,14.56,0,1
5138,16.19,49.13,18.13,14.08,0,0
5107,16.48,53.29,12,13.36,0,0
5259,15.4,49.42,15.83,13.09,0,1
5686,14.08,56.71,11.63,11.51,0,1
5035,13.73,54.75,20.38,12.13,0,1
5315,17.09,33.35,23.3,14.44,0,1
5992,17.77,54.08,14.38,14.83,0,1
6536,19.7,64.54,3.88,15.96,0,0
6852,21.09,65.92,8.54,17.25,0,0
6269,23.77,74.17,11.63,19.89,1,0
4094,16.16,66.29,22.92,14.08,0,1
5495,14.08,55.21,13.37,11.86,0,1
5445,16.22,62.04,10.25,13.19,0,1
5698,17.36,52.46,11.46,14.15,0,1
5629,16.32,54.54,12.04,13.33,0,0
4669,16.89,69.29,15.25,14.04,0,0
5499,18.78,62.33,15.75,15.61,0,1
5634,19.03,68.5,5.54,15.34,0,1
5146,18.24,61.38,6.92,14.49,0,1
2425,17.52,58.04,3.54,13.94,1,0
3910,18.94,56.88,9.92,15.1,0,1
2277,12.44,40.46,25.25,11.41,0,0
2424,12.88,46.83,10.08,10.08,0,0
5087,16.95,53.54,3.13,12.85,0,1
3959,14.08,78.67,15.92,11.96,0,1
5260,14.49,50.63,14.13,12.16,0,1
5323,14.92,55.57,7.74,11.52,0,1
5668,16.19,64.96,3.92,12.23,0,1
5191,15.85,80.67,4,12.23,0,0
4649,17.96,82.33,8.33,14.25,0,0
6234,22.79,76.75,5.54,18.55,0,1
6606,23.45,73.38,11.67,19.51,0,1
5729,21.4,48.5,21.71,17.97,0,1
5375,12.91,50.88,11.71,10.49,0,1
5008,16.1,76.42,8.75,13.15,0,1
5582,19.48,91.13,6.79,15.65,0,0
3228,19.51,90.54,10.58,15.75,0,0
5170,21.78,92.5,12.75,17.87,0,1
5501,16.92,59.67,19.83,14.49,0,1
5319,14.87,53.83,10.92,12.2,0,1
5532,14.71,48.58,11.67,12.13,0,1
5611,14.71,64.29,8.79,11.55,0,1
5047,16.92,65.04,7.13,13.29,0,0
3786,18.5,83.88,6.75,14.86,0,0
4585,20.08,90.71,6.58,16.13,0,1
5557,20.49,66.63,14.83,16.84,0,1
5267,17.11,62.54,12.33,13.63,0,1
4128,16.76,66.79,8.88,13.53,0,1
3623,15.09,55.67,25.08,13.39,0,1
1749,11.81,44.13,27.29,10.9,0,0
1787,12.97,51.54,8.92,10.08,0,0
920,12.95,79.13,5.17,9.48,0,1
1013,14.72,73.48,11.3,11.94,1,0
441,11.02,82.33,21.21,9.98,0,1
2114,11.33,65.29,23.46,10.42,0,1
3095,12.75,59,10.42,10.39,0,1
1341,12.12,75.29,8.33,10.39,0,0
1796,11.59,48.33,23.5,10.49,0,0
2729,11.17,57.75,10.37,8.85,0,1
