LIMIT_BAL,GENDER,MARRIAGE,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT
310000,2,1,25,184538,153625,142810,125869,107986,83461,5019,3872,3147,2912,5109,1604,NO
310000,2,1,54,191767,185445,188255,187384,184222,183544,6612,8321,7022,6021,6005,6042,NO
320000,2,2,43,66497,68327,68759,69746,70040,71076,3084,3007,3031,2367,2450,2432,NO
320000,1,2,42,146183,148703,169920,174315,173032,176016,6206,25006,10025,6506,7006,8006,NO
320000,2,2,25,179893,183466,187397,187999,191388,40940,6558,7254,4308,4274,1296,1017,NO
330000,1,2,56,46140,45781,48139,51137,39450,25358,2504,4007,5056,74,1023,2566,NO
330000,2,1,31,118053,197622,25664,9461,6407,15791,198842,25000,9004,6000,15000,6000,NO
330000,1,2,66,229229,227017,222040,218852,203312,196266,9520,8100,8500,7400,7200,7900,NO
340000,2,2,26,-2,-2,466,-3,1292,586,0,468,0,649,1178,0,NO
340000,2,2,43,0,0,0,1888,4777,4752,0,0,1888,4777,4752,1888,NO
340000,1,2,65,170717,174026,177359,173334,176605,180205,6401,6501,6101,6201,6501,6601,NO
360000,1,2,60,0,1647,1488,490,1697,789,1647,5,2,1705,792,0,NO
360000,2,2,39,442,442,442,442,434,442,444,444,444,436,452,886,NO
360000,1,2,47,586,14074,5672,5084,3317,1646,14076,5672,0,0,1646,3875,NO
360000,2,2,30,947,4075,6385,991,4632,2014,4098,6401,997,4641,2014,5,NO
360000,2,2,61,1614,-40,-40,-40,-40,1153,40,0,0,0,1193,17,NO
360000,2,2,52,20952,12590,3479,3435,8870,2020,12590,3479,3446,8870,2020,27043,NO
360000,2,2,39,160411,163079,166445,168301,171870,175458,6200,6200,4768,5000,5000,5023,NO
360000,2,2,48,286732,290690,284059,294308,297916,279503,10792,0,15000,5800,0,126685,NO
360000,2,2,68,336179,173781,161223,145172,131346,134135,6781,7226,5032,5346,15003,15011,NO
390000,2,2,44,21382,19133,19327,26992,33483,37465,4000,5000,11417,10000,10000,5000,NO
390000,2,2,53,83514,79730,64171,58767,54224,51667,4013,4000,2100,2000,3000,1200,NO
400000,2,1,65,12570,958,4465,14272,1965,958,958,4465,14272,1965,958,6405,NO
400000,2,2,42,393159,44917,52366,29995,22722,24479,2522,17213,1000,1000,2100,154700,NO
410000,2,2,45,4151,4357,10513,9137,7781,28870,4357,10513,9137,7781,28870,15000,NO
420000,2,2,47,2804,2615,3392,4392,-796,-796,0,1000,1000,0,0,20500,NO
420000,2,2,23,17685,28206,122212,117835,112705,111357,30553,100000,4013,3822,4086,3800,NO
420000,2,2,45,23191,24541,24813,25893,26397,26557,2267,2034,1500,1467,1267,1767,NO
420000,2,2,58,28206,122212,117835,112705,111357,108306,100000,4013,3822,4086,3800,3600,NO
420000,2,2,55,68394,72874,71035,57503,56467,53995,5620,0,2000,1892,1979,2226,NO
450000,2,2,70,0,0,0,0,0,0,0,0,0,0,0,0,NO
500000,2,2,23,-46,9412,1260,0,1121,6566,9458,1260,0,1121,6000,3000,NO
500000,2,2,52,37797,35510,26463,23503,23918,23937,3050,1543,1215,3717,14014,12042,NO
500000,2,2,49,119193,163856,170201,162212,145184,118467,70005,10051,6119,7303,15090,10191,NO
10000,1,2,49,-372,4253,1777,780,780,0,5253,1500,780,0,0,0,NO
10000,1,2,27,-2,-391,-781,9211,9422,8853,0,0,10500,500,500,1000,NO
10000,1,2,27,223,3035,4810,7546,9260,10000,3000,2000,3000,2000,1000,0,NO
10000,1,2,57,273,8327,9379,9566,9766,10042,8327,1200,342,354,438,200,NO
10000,1,2,25,2736,4050,5426,6743,8544,9858,3000,2000,2000,2000,2000,1000,NO
10000,1,2,22,2887,1923,2989,2813,2008,2132,0,1500,0,0,150,0,NO
10000,2,1,55,3892,3686,5064,4837,5208,5475,0,1600,0,600,500,0,NO
10000,1,2,53,4050,5426,6743,8544,9858,1303,2000,2000,2000,2000,1000,0,NO
10000,1,2,67,5378,5146,6205,7139,7918,7646,0,1300,1200,900,0,700,NO
10000,2,2,48,5707,6728,7865,7105,8298,8020,1123,1260,1500,1470,0,1500,NO
10000,2,2,48,5742,4576,4139,2583,0,0,1500,2000,583,0,0,0,NO
10000,1,2,37,5803,6849,8371,8090,8261,8773,1300,1800,0,450,800,0,NO
10000,1,2,65,6217,5082,5400,5012,1740,390,5112,5400,2,4,0,5039,NO
10000,2,2,36,6524,7559,9564,9264,9862,10050,1300,2300,0,900,500,0,NO
10000,2,2,44,6632,7095,7565,8854,9229,8376,2000,2000,2000,1000,1000,1000,NO
10000,2,2,63,6709,7895,8751,8925,9111,9360,1300,1146,320,330,400,1000,NO
10000,2,2,48,6779,6524,7559,9564,9264,9862,0,1300,2300,0,900,500,NO
10000,1,2,57,6933,9301,9000,0,10500,10674,2500,0,1000,10500,368,184,NO
10000,1,2,61,7521,8519,8142,8235,0,0,1145,1148,1021,0,0,0,NO
10000,1,2,70,7760,8928,8386,7512,7615,7621,1471,1100,1107,600,264,544,NO
10000,1,2,60,7826,8745,8440,9229,8969,8819,1200,0,900,0,2000,0,NO
10000,2,1,59,8283,8754,9436,5856,6059,5999,1500,1246,210,298,120,0,NO
10000,1,2,36,9285,273,8327,9379,9566,9766,273,8327,1200,342,354,438,NO
10000,1,2,45,9774,10400,0,0,0,0,1000,0,0,0,0,0,NO
20000,1,2,33,-1400,-1400,-1400,-1000,-1000,0,0,0,1000,0,1000,0,NO
20000,1,2,38,-331,19398,1238,5300,0,16100,19729,1000,5300,0,16100,0,NO
20000,2,2,34,0,0,0,0,222,6345,0,0,0,222,6345,2000,NO
20000,1,2,59,0,5536,18884,18059,18163,16990,5536,14000,137,500,0,0,NO
20000,1,2,50,0,150,0,597,0,4740,150,0,597,0,4740,0,NO
20000,2,2,56,0,1516,500,0,0,1500,1516,500,0,0,1500,0,NO
20000,2,2,40,0,890,467,500,0,647,890,467,500,0,647,0,NO
20000,1,2,64,255,541,275,329,544,190,541,275,329,544,190,241,NO
20000,1,2,50,299,-1,-1,494,2284,490,0,0,495,2290,491,1695,NO
20000,2,2,57,379,0,0,0,0,0,0,0,0,0,0,0,NO
20000,1,2,53,390,390,390,780,0,0,390,390,780,0,0,0,NO
20000,2,2,66,390,390,390,1052,662,1202,390,390,1052,0,2030,5485,NO
20000,2,2,65,396,1301,12056,11151,11219,18120,1301,11151,0,600,8120,1500,NO
20000,2,2,39,440,4023,440,440,440,440,4023,440,440,440,440,440,NO
20000,1,2,41,546,48,498,449,1651,1114,0,948,449,1700,1114,0,NO
20000,1,2,33,610,13222,13488,11818,12428,5965,13002,3000,0,1000,5965,0,NO
20000,2,2,53,632,316,948,632,316,1096,0,948,0,0,1096,0,NO
20000,2,1,46,750,0,0,0,0,0,165,0,0,528,0,0,NO
20000,1,2,34,780,0,390,390,780,0,0,390,390,780,0,0,NO
20000,2,2,58,1150,1661,-29,2992,3664,5364,1661,0,3021,3664,5364,0,NO
20000,2,2,52,1360,1301,2257,2641,5041,248,1301,1267,1648,4041,0,3422,NO
20000,2,2,66,1371,796,398,796,398,716,796,0,796,0,716,12111,NO
20000,1,2,44,1473,390,8595,7454,7208,0,390,8595,149,144,0,780,NO
20000,1,2,70,1650,1650,1650,1650,1650,1650,0,0,0,0,0,0,NO
20000,2,2,59,1908,1278,0,0,0,0,1405,0,0,0,0,0,NO
20000,1,2,43,2500,3068,-380,-380,-380,-380,3068,0,0,0,0,0,NO
20000,1,2,30,2522,390,0,780,0,780,390,0,780,0,780,0,NO
20000,1,2,46,3302,0,679,679,5679,7570,0,679,0,5000,2000,0,NO
20000,2,2,51,3634,6568,7307,8027,8892,9739,3000,1000,1000,1000,1000,1000,NO
20000,1,2,55,3724,5646,6808,14046,13924,16924,2000,1262,7500,278,3000,0,NO
20000,1,2,40,3808,4470,8176,7909,2948,1220,4515,8186,7913,3049,1624,3800,NO
20000,1,2,34,3843,4110,4560,4567,4060,1035,1073,1258,1000,228,1035,0,NO
20000,1,2,46,4091,5316,6467,7500,7497,8170,1300,1400,1300,270,795,0,NO
20000,2,2,22,4101,507,3042,0,8402,6204,507,3042,0,8402,0,4739,NO
20000,2,2,66,4261,7830,17213,4781,3178,15834,7830,17221,1203,3178,15834,0,NO
20000,2,2,55,4687,9060,5064,14745,6805,6805,15000,6004,14776,10000,0,7436,NO
20000,1,2,61,4720,0,20200,20000,0,0,0,20200,0,0,0,0,NO
20000,2,1,32,4983,-74,-74,749,0,0,0,0,823,0,0,519,NO
20000,2,2,46,5103,3773,10132,4818,0,0,3773,10139,4830,0,0,1960,NO
20000,2,2,24,5275,5487,2778,6572,5016,2508,2778,0,6572,5016,0,0,NO
20000,1,2,65,6128,7171,9582,9282,9977,10812,1300,2700,0,1000,1000,0,NO
20000,1,2,66,6814,7670,8690,9699,10138,10400,1132,1152,1161,600,600,0,NO
20000,1,2,66,7719,7455,7187,8367,7945,7669,0,0,1300,0,0,1000,NO
20000,1,2,63,7733,8754,8469,9481,10324,10017,1300,0,1157,1000,0,1210,NO
20000,2,2,47,7795,4110,10269,5880,3330,4339,4112,10269,118,67,2000,2128,NO
20000,2,2,43,9739,12322,3023,2748,12351,13927,3023,0,0,12351,4000,2000,NO
20000,2,1,69,10361,19566,8746,3355,7143,1288,10000,1390,3355,7143,1288,0,NO
20000,1,2,54,10476,7279,688,688,688,1320,1000,688,0,0,650,0,NO
20000,1,2,68,10534,8864,6741,3820,16945,17509,1300,1305,500,13500,1000,1500,NO
20000,1,2,45,10700,510,900,704,540,150,510,390,1094,2420,150,780,NO
20000,1,2,23,10768,12087,13115,14190,14328,14629,1502,1530,1600,670,680,686,NO
20000,1,2,24,11893,12906,12902,12398,13297,12934,1500,500,0,1100,0,1500,NO
20000,1,2,55,12060,11047,780,390,12246,12409,0,780,0,12246,911,0,NO
20000,2,2,69,12509,0,0,0,13398,7224,0,0,0,13398,0,0,NO
20000,2,2,51,13168,13888,14900,15916,15519,15829,1237,1249,1265,0,568,1327,NO
20000,2,1,28,13506,14772,16520,17623,15237,13776,1500,2000,1500,506,803,1009,NO
20000,2,2,39,13542,14852,15571,16584,17067,34262,1543,1262,1275,758,638,1340,NO
20000,2,2,62,13867,14834,15931,15850,16226,14411,1500,1450,369,429,288,250,NO
20000,1,2,26,14068,16706,18342,17755,17967,17538,3200,2200,0,800,0,1401,NO
20000,2,2,63,14273,13327,11789,11200,13244,13539,1183,2000,1200,2244,506,561,NO
20000,2,2,22,14367,16130,18136,18258,19478,19866,2001,2600,701,1500,705,1000,NO
20000,1,2,52,14558,17212,16635,16678,17268,17563,3200,0,600,1840,800,626,NO
20000,1,2,52,14619,17216,16642,16976,17332,18543,2850,0,610,630,1500,0,NO
20000,1,2,52,14628,16391,18045,18055,0,0,3000,2000,1000,0,0,0,NO
20000,2,2,67,15036,16069,16774,17266,17539,18033,1580,1280,770,700,785,600,NO
20000,1,2,25,15110,16548,17443,16216,18027,12364,2000,1500,1500,2000,0,1000,NO
20000,1,2,60,15221,17847,18483,19079,19060,19061,3287,1313,1299,670,686,694,NO
20000,1,2,62,15408,17146,18856,18265,18123,18732,2000,2011,1650,600,900,900,NO
20000,1,2,29,15570,16996,18414,19843,19643,3300,2000,2000,2200,0,100,0,NO
20000,1,2,41,15703,19775,19096,19612,20164,19771,4663,0,1000,1000,5000,0,NO
20000,1,2,62,15730,16776,35036,14694,16914,14074,1313,2110,4000,6000,4000,174,NO
20000,1,2,50,15886,16337,16470,10195,11195,11995,2500,800,1500,1000,800,6720,NO
20000,1,2,68,15940,19222,20650,0,0,0,3572,2000,0,0,0,0,NO
20000,2,2,46,16199,0,187,-18,-18,-18,0,187,0,0,0,0,NO
20000,1,2,65,16239,16276,16715,18327,17735,19446,600,1000,2200,0,2000,0,NO
20000,1,2,70,16276,16715,18327,17735,19446,18988,1000,2200,0,2000,0,1200,NO
20000,2,1,63,16393,8118,5463,1379,2668,390,1688,1463,1379,2668,390,390,NO
20000,2,2,52,16582,17721,18762,19729,20134,19590,1422,1333,1300,700,1000,1000,NO
20000,1,2,39,16706,18342,17755,17967,17538,18647,2200,0,800,0,1401,0,NO
20000,1,2,25,16793,18215,18679,16264,17119,10550,1700,1150,467,1000,1200,400,NO
20000,1,2,67,16794,17496,18981,19608,19600,20000,1288,1773,1400,392,400,0,NO
20000,1,2,38,16973,17984,18748,19627,19624,19652,1600,1357,1236,623,653,673,NO
20000,2,2,64,17147,18264,19145,17322,16989,12699,1700,1500,822,1000,1000,500,NO
20000,1,2,36,17172,18179,19061,20182,19982,19482,1597,1479,1600,400,0,298,NO
20000,2,1,42,17191,18594,19489,20200,20000,0,2000,1500,1200,0,0,0,NO
20000,1,2,27,17231,15897,16232,16555,16104,16055,0,1300,573,576,600,1900,NO
20000,2,2,41,17372,17859,20567,19928,18711,19408,1500,3000,0,1000,1000,1500,NO
20000,1,2,41,17447,18479,19476,19865,20480,20063,1318,1315,704,928,912,1069,NO
20000,2,1,29,17599,18920,19000,0,80,540,1920,1000,0,40,1000,844,NO
20000,1,1,35,17611,18038,17473,16900,17690,18255,1000,0,0,1376,1000,649,NO
20000,1,2,67,17697,18445,19382,18440,18826,17311,1634,1571,629,652,618,640,NO
20000,1,2,43,17850,15528,13597,14088,13723,16318,2019,2000,1003,1000,3000,2000,NO
20000,1,2,43,17895,19598,19701,3486,199,0,2000,1000,400,199,0,0,NO
20000,1,2,58,17924,18475,19539,19396,11643,11578,1400,1380,1181,1000,500,500,NO
20000,1,2,67,18186,19086,19618,0,0,0,1500,1000,0,0,0,0,NO
20000,1,2,48,18196,19495,-280,-280,-280,-670,1775,0,0,390,0,1600,NO
20000,1,2,65,18199,17623,18317,19525,19084,19601,0,1300,1500,0,1600,0,NO
20000,2,2,40,18556,19162,19293,19298,19198,0,1805,1400,405,400,0,0,NO
20000,1,2,60,18661,17895,19598,19701,3486,199,1400,2000,1000,400,199,0,NO
20000,1,2,33,18738,18016,7190,7190,0,0,20,1500,0,0,0,0,NO
20000,2,1,28,18817,18227,19632,20298,20337,19863,0,1720,1754,893,0,400,NO
20000,2,2,37,18821,18714,18942,20179,20204,20239,2000,1300,1500,2500,1000,1000,NO
20000,1,2,41,18836,19147,20223,19788,19927,20045,1318,1394,1159,678,793,138,NO
20000,2,2,23,18916,18556,19162,19293,19298,19198,1600,1805,1400,405,400,0,NO
20000,2,1,70,18919,16743,17857,18310,18000,17294,1600,1687,1140,1800,1000,0,NO
20000,1,2,46,18937,18350,18918,19323,13180,5200,0,1251,656,13180,5200,0,NO
20000,2,2,57,19000,15114,5831,14784,961,311,1000,5831,14784,961,0,15735,NO
20000,2,2,70,19043,20210,18091,19431,19478,17492,1500,1408,5000,1000,2000,5000,NO
20000,2,2,49,19096,20087,16752,15017,13754,4699,1335,5000,370,350,176,94,NO
20000,1,2,31,19102,18054,19026,19406,18258,18694,1318,1290,670,663,740,536,NO
20000,2,2,34,19154,18165,17233,7630,1730,0,0,1333,500,100,0,3200,NO
20000,2,2,65,19167,18925,18340,18317,18747,19328,1585,1700,1570,1000,1000,1000,NO
20000,2,2,69,19214,15703,9914,8200,11876,4792,0,1000,0,5000,5400,13324,NO
20000,1,2,59,19318,18735,20905,20270,19409,19954,0,2480,0,1000,1035,1000,NO
20000,2,2,70,19335,20094,19495,18845,19023,17928,1415,3600,0,700,4500,1900,NO
20000,1,2,23,19401,20610,19682,19593,20001,19466,3232,0,815,858,832,560,NO
20000,2,2,67,19403,18989,18914,19883,19293,19993,1300,1332,1301,700,1000,900,NO
20000,2,2,26,19433,20508,19662,20001,16448,16774,1700,1300,600,600,600,622,NO
20000,1,2,37,19438,16944,17990,19671,19244,19443,1273,1319,2000,674,693,693,NO
20000,2,1,44,19618,17576,18266,18637,19028,14924,1451,1141,512,533,1000,600,NO
20000,1,2,42,20036,19322,17619,10688,11346,0,0,2000,4000,2033,0,0,NO
20000,2,2,65,20073,19940,19441,18680,19071,19217,1319,1291,656,679,784,376,NO
20000,1,2,70,20464,19322,19004,19558,19176,19441,4,1640,1589,1000,1001,1004,NO
20000,1,2,52,21034,19839,18663,20394,19228,19615,0,0,2616,0,1400,0,NO
20000,1,2,51,21151,20537,19933,19167,18767,18767,0,0,0,0,0,0,NO
20000,2,2,34,21838,20544,19991,20305,19349,20467,2349,1296,1000,696,2213,0,NO
20000,2,2,64,22515,24146,25374,19075,18907,18507,2000,2024,2000,1005,1188,2002,NO
20000,2,2,66,24146,25374,19075,18907,18507,20046,2024,2000,1005,1188,2002,1015,NO
20000,2,1,38,24310,23987,23353,22719,21796,21162,0,0,0,0,0,0,NO
20000,1,2,46,24348,24025,23391,22757,21834,21200,0,0,0,0,0,0,NO
30000,2,2,37,-5,565,-25,-25,4897,6685,570,25,0,4922,6788,0,NO
30000,2,2,45,0,0,0,0,0,0,0,0,0,0,0,0,NO
30000,2,2,45,0,0,0,745,0,0,0,0,745,0,0,930,NO
30000,1,2,67,0,0,0,0,0,0,0,0,0,0,0,0,NO
30000,2,2,66,0,0,1469,2432,827,0,0,1469,1008,300,0,0,NO
30000,2,1,31,150,150,150,150,150,300,0,0,0,0,150,0,NO
30000,2,2,47,300,300,300,300,300,300,0,0,0,0,0,0,NO
30000,2,2,39,300,300,300,300,300,300,0,0,0,0,0,0,NO
30000,1,2,65,390,780,0,0,0,0,780,0,0,0,0,0,NO
30000,2,2,35,736,1472,736,736,736,1423,1472,0,736,736,1423,831,NO
30000,2,2,70,784,390,7480,0,1803,1023,390,7480,0,1803,0,0,NO
30000,2,2,59,784,4184,0,0,0,0,4200,1000,0,0,0,0,NO
30000,2,2,69,1104,1162,774,386,-4,16305,1164,2,2,0,16309,0,NO
30000,1,2,70,1426,2539,3437,5365,6275,7172,1300,1100,2000,1000,1000,2000,NO
30000,2,2,53,1513,27350,28561,29684,32650,34299,26500,2048,2000,3769,5007,2007,NO
30000,2,2,39,1800,1800,1800,1800,1200,600,0,0,0,0,0,0,NO
30000,2,2,53,1991,2621,4211,4709,4805,2848,2000,2000,1000,96,0,3000,NO
30000,2,2,45,2590,8346,8069,13042,12690,15503,6000,0,5464,0,3027,0,NO
30000,1,2,62,2706,1261,390,390,390,390,0,390,390,390,390,780,NO
30000,2,2,25,3019,1479,18860,950,5660,0,1479,18881,0,4710,0,7153,NO
30000,2,2,38,3055,18392,640,0,2583,4653,18407,640,0,2583,4653,2583,NO
30000,2,1,33,3740,4616,5837,6778,6912,7057,1100,1300,1200,247,256,258,NO
30000,2,2,25,4848,6524,6290,4440,4531,1300,3000,1108,1000,91,26,0,NO
30000,2,2,55,4882,14630,6323,2870,1485,3926,14630,6485,2870,1485,3926,0,NO
30000,2,2,50,5807,7153,7877,8591,10302,10006,1600,1000,1000,2000,0,1500,NO
30000,1,2,32,5857,20190,18794,6650,6118,2235,18794,0,6650,0,0,13000,NO
30000,1,2,34,6003,4912,6214,3311,4430,906,1440,2259,0,1500,425,895,NO
30000,2,2,60,7134,7872,9528,9725,9427,10118,1000,1800,500,0,1000,0,NO
30000,1,2,67,8217,3000,0,504,279,254,5000,0,504,300,500,1000,NO
30000,1,2,56,11080,-202,-202,-202,-202,7571,0,0,0,0,7844,235,NO
30000,1,2,54,12800,0,0,90,-40,-3000,0,0,90,0,0,10400,NO
30000,1,2,55,14857,16302,17333,18735,18952,19195,2000,1598,2000,825,698,701,NO
30000,2,2,51,16704,18121,19030,19424,18818,23307,2000,1500,1000,0,5000,2000,NO
30000,2,2,39,17615,18338,19350,19734,20301,20812,1310,1322,706,885,1000,614,NO
30000,2,2,24,18220,20606,22880,22217,23694,24151,3000,2620,0,2000,1000,1000,NO
30000,2,2,44,19998,21212,18127,14439,11026,10523,3001,2013,2001,2002,1500,20000,NO
30000,2,2,65,20069,21148,22185,22551,23223,24837,1700,1700,1000,1000,2000,1400,NO
30000,2,2,38,20367,21882,22929,25433,26228,25679,2000,1696,3200,1500,0,4306,NO
30000,1,2,23,20985,20393,20399,19945,19645,11229,0,2403,0,0,2000,0,NO
30000,2,2,26,21540,22236,23574,24583,24915,25280,1358,1696,1705,1037,915,929,NO
30000,1,2,65,21652,22656,23804,25668,24887,0,1369,1517,2381,0,0,0,NO
30000,2,2,70,22236,23574,24583,24915,25280,25791,1696,1705,1037,915,929,1097,NO
30000,2,1,66,22280,23671,24233,22893,3332,3400,1748,1310,490,67,68,0,NO
30000,2,2,24,23031,22393,21736,23192,22701,22954,0,0,1800,0,1000,1000,NO
30000,2,2,35,24835,23527,20701,8263,0,0,1485,1138,1000,0,0,0,NO
30000,1,2,58,25063,22275,0,517,25420,24863,1545,0,1517,25420,0,980,NO
30000,2,2,39,25111,27558,26552,27703,28128,28859,3551,0,1902,1022,1200,1200,NO
30000,1,2,51,25265,26354,27710,27959,30002,29371,1500,1800,1007,2500,0,1800,NO
30000,2,2,33,25288,27549,28784,28708,27916,30333,3000,2000,1800,2000,3000,2500,NO
30000,2,2,58,25616,27526,11458,7500,7000,5192,31348,1328,1000,7000,5192,0,NO
30000,2,2,45,26094,27095,28158,29385,29665,30446,1440,1503,1730,1010,1206,1949,NO
30000,2,2,45,26133,28926,28167,28568,29019,30430,3526,0,1168,1060,1900,0,NO
30000,2,2,64,26690,27954,27226,28427,28752,28447,2000,0,2000,1000,1100,1500,NO
30000,1,2,46,26931,27791,28792,29121,29368,13174,1598,1599,928,600,627,1500,NO
30000,2,2,56,27170,27448,27238,27012,26762,25900,2500,2000,2000,1916,1000,1100,NO
30000,2,2,56,27181,26849,27594,28157,28723,28059,2000,1500,1000,1000,1000,1000,NO
30000,1,2,46,27306,28312,29327,27836,28423,29813,1747,1800,1136,1178,2430,0,NO
30000,2,2,50,27391,28412,28575,28925,24159,0,1767,1700,1010,1141,0,0,NO
30000,2,2,22,27465,30386,31105,30270,29963,29661,3700,1500,0,1050,1250,2200,NO
30000,1,2,26,27576,27089,27986,28580,28649,29147,1500,1500,1050,1100,1000,2000,NO
30000,2,2,60,27660,28780,780,0,0,0,2000,0,0,0,0,0,NO
30000,2,2,58,27690,28543,8536,9497,29046,29873,1578,1239,1200,25000,1200,0,NO
30000,1,2,61,27880,29342,22974,24586,25675,30765,2000,1388,2000,1500,5541,0,NO
30000,2,1,54,27896,29938,30061,29621,27956,29484,2506,1748,1003,1022,2000,1000,NO
30000,2,2,23,27954,27226,28427,28752,28447,24552,0,2000,1000,1100,1500,1000,NO
30000,2,2,49,28008,29549,30298,30046,29880,27039,2000,2000,900,1000,2000,0,NO
30000,2,2,55,28049,27383,25728,26521,23593,21963,2000,1500,2000,1000,1000,1000,NO
30000,2,2,53,28218,28704,30428,28914,29357,29955,2000,3600,0,1200,1200,1300,NO
30000,1,2,56,28327,27406,28400,28115,28826,27745,1464,1458,1443,1154,1008,1018,NO
30000,1,2,59,28436,28845,31071,30248,30354,29088,1800,3300,0,1500,1500,1300,NO
30000,1,2,43,28470,31407,30200,30000,0,0,3407,0,0,0,0,0,NO
30000,1,2,50,28495,29632,30629,29357,30143,30419,1900,1800,1045,1250,1100,1100,NO
30000,1,2,26,28749,29457,29530,28433,21365,0,2004,2169,1260,819,0,0,NO
30000,2,2,63,28885,27924,27709,27457,26848,26407,1459,1414,952,1002,832,2698,NO
30000,1,1,58,29416,30476,30386,29769,30395,30348,1540,1447,1027,1066,1288,1104,NO
30000,2,2,68,29492,29697,30737,27808,28204,28792,1000,3513,0,1155,1190,1502,NO
30000,2,1,30,29654,28570,31085,29945,30373,29476,0,3300,0,2158,0,1100,NO
30000,2,2,66,29846,28941,18643,19005,12751,10891,0,4000,600,0,2500,419,NO
30000,2,2,22,30767,28818,30411,28805,26895,27162,1600,2517,4006,2000,1000,1500,NO
30000,2,2,63,31319,31181,31540,31016,30531,30528,1564,1800,1100,1500,1500,3000,NO
30000,1,2,57,31529,30752,29991,29192,28210,28543,0,0,0,1100,1300,2000,NO
40000,2,2,54,5247,7196,6597,5552,4081,3232,7196,6597,5552,4081,3232,8390,NO
40000,2,2,40,5496,698,400,25289,24435,2201,0,400,25289,0,0,1329,NO
40000,2,2,60,9958,12140,11653,11762,12418,13108,2500,0,600,1000,900,1000,NO
40000,2,2,68,19133,0,0,0,0,0,0,0,0,0,0,0,NO
40000,2,1,31,25933,25589,25234,24579,23635,22680,0,0,0,0,0,0,NO
40000,2,2,56,35285,36714,37356,38184,38724,37255,2000,1600,1401,1607,1800,1751,NO
40000,1,2,54,36904,34372,38496,37580,38820,39693,1600,6700,0,2000,1700,1400,NO
40000,1,2,59,37412,38485,39575,39247,9687,33625,2000,20000,1359,600,33625,615,NO
40000,1,2,33,39868,25714,17351,21567,18388,18353,1259,1700,6000,800,800,800,NO
40000,2,1,48,40848,39270,40929,40528,39575,40526,1650,2300,1600,1330,1500,1500,NO
50000,2,1,54,-1037,-1037,49024,49806,30212,30419,0,52806,1872,1200,1100,1250,NO
50000,1,2,50,-1000,0,0,0,0,0,1000,0,0,0,2000,0,NO
50000,1,2,50,-22,834,-639,1559,-205,613,3000,0,3000,0,2000,1000,NO
50000,1,2,27,0,0,0,0,0,181,0,0,0,0,181,1685,NO
50000,2,2,62,0,0,0,0,0,0,0,0,0,0,0,0,NO
50000,2,2,32,0,0,51400,11330,12144,12938,0,51400,11330,1000,1000,1519,NO
50000,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,NO
50000,2,2,30,0,0,37111,37516,36614,37537,0,37111,1307,0,1509,1388,NO
50000,1,2,37,90,6560,7029,1734,916,18864,7396,1459,1000,18,18784,1000,NO
50000,2,2,64,220,220,677,1200,666,1480,220,677,1200,666,1480,3710,NO
50000,1,2,24,236,4324,1861,0,1780,2581,4324,1861,0,1780,2581,2140,NO
50000,1,1,55,390,918,19583,19593,19364,19893,918,19583,1000,1000,1000,1000,NO
50000,1,2,33,390,390,390,780,390,390,390,390,780,0,390,0,NO
50000,2,2,68,390,390,390,780,780,0,390,390,780,0,0,0,NO
50000,1,2,39,402,-2760,-3650,-3650,-3650,-3650,0,0,0,0,0,0,NO
50000,2,2,40,594,0,0,51400,11330,12144,0,0,51400,11330,1000,1000,NO
50000,2,2,27,629,351,784,696,800,341,351,789,699,910,341,210,NO
50000,2,2,69,780,0,580,-200,300,0,0,580,0,500,0,0,NO
50000,2,2,67,894,1020,0,0,0,0,1020,0,0,0,0,0,NO
50000,2,1,22,900,0,0,0,0,0,0,0,0,0,0,0,NO
50000,1,2,29,999,593,-7,2636,-39,13000,594,0,2643,0,13039,128,NO
50000,2,2,40,1303,1303,748,1693,1138,748,1303,748,1693,1138,895,1528,NO
50000,1,2,49,1399,2441,3865,7476,8384,8085,1070,1500,3666,2477,1306,1000,NO
50000,2,2,65,1572,1572,6561,5091,353,26864,1572,6561,102,353,27000,1000,NO
50000,2,2,57,1572,1572,1572,6561,5091,353,1572,1572,6561,102,353,27000,NO
50000,2,2,45,1580,306,995,1055,102,2110,306,995,1055,0,2110,0,NO
50000,1,2,47,1959,662,1655,0,1250,1000,0,1655,0,1250,0,0,NO
50000,1,2,24,2155,0,1978,14207,8602,7201,0,30300,14207,602,7201,383,NO
50000,1,2,67,2562,8743,-290,18115,18495,18804,8769,0,18650,659,1000,1000,NO
50000,2,2,63,2568,3589,4608,4919,0,0,1070,1089,1000,0,0,0,NO
50000,2,2,36,2757,3776,4785,5031,5134,5138,1070,1079,325,332,238,1180,NO
50000,2,2,46,3258,-37,18356,1851,8362,810,0,9252,1859,8362,810,1469,NO
50000,1,2,44,5219,6475,7483,7709,7934,8242,1500,1274,500,500,440,450,NO
50000,1,2,69,5599,6696,7783,8843,9209,10070,1200,1200,1200,500,1000,500,NO
50000,1,2,68,5784,3392,2182,0,2092,-2272,0,1000,0,2092,0,0,NO
